M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
2|2|2|8|4460|185|548446
2|2|4|8|4460|154|548446
2|2|8|8|4460|157|548446
2|2|16|8|4460|159|548446
2|2|32|8|4460|152|548446
2|4|2|7|4019|144|548446
2|4|4|7|4019|148|548446
2|4|8|7|4019|155|548446
2|4|16|7|4019|149|548446
2|4|32|7|4019|157|548446
2|8|2|7|3804|132|548446
2|8|4|7|3804|139|548446
2|8|8|7|3804|128|548446
2|8|16|7|3804|124|548446
2|8|32|7|3804|140|548446
2|16|2|7|3700|133|548446
2|16|4|7|3700|137|548446
2|16|8|7|3700|142|548446
2|16|16|7|3700|137|548446
2|16|32|7|3700|132|548446
2|32|2|7|3689|131|548446
2|32|4|7|3689|133|548446
2|32|8|7|3689|143|548446
2|32|16|7|3689|132|548446
2|32|32|7|3689|125|548446
4|2|2|8|3623|155|561630
4|2|4|8|3623|159|561630
4|2|8|8|3623|146|561630
4|2|16|8|3623|136|561630
4|2|32|8|3623|132|561630
4|4|2|9|3577|135|561630
4|4|4|9|3577|138|561630
4|4|8|9|3577|127|561630
4|4|16|9|3577|153|561630
4|4|32|9|3577|135|561630
4|8|2|9|3421|126|561630
4|8|4|9|3421|138|561630
4|8|8|9|3421|144|561630
4|8|16|9|3421|149|561630
4|8|32|9|3421|122|561630
4|16|2|9|5863|115|561630
4|16|4|9|5863|137|561630
4|16|8|9|5863|130|561630
4|16|16|9|5863|139|561630
4|16|32|9|5863|134|561630
4|32|2|9|3711|128|561630
4|32|4|9|3711|151|561630
4|32|8|9|3711|126|561630
4|32|16|9|3711|129|561630
4|32|32|9|3711|147|561630
8|2|2|10|3258|134|592914
8|2|4|10|3258|123|592914
8|2|8|10|3258|129|592914
8|2|16|10|3258|144|592914
8|2|32|10|3258|120|592914
8|4|2|10|2785|134|592914
8|4|4|10|2785|130|592914
8|4|8|10|2785|122|592914
8|4|16|10|2785|153|592914
8|4|32|10|2785|149|592914
8|8|2|9|3045|134|592914
8|8|4|9|3045|142|592914
8|8|8|9|3045|155|592914
8|8|16|9|3045|122|592914
8|8|32|9|3045|134|592914
8|16|2|9|3139|118|592914
8|16|4|9|3139|136|592914
8|16|8|9|3139|142|592914
8|16|16|9|3139|131|592914
8|16|32|9|3139|143|592914
8|32|2|10|2658|140|592914
8|32|4|10|2658|148|592914
8|32|8|10|2658|131|592914
8|32|16|10|2658|133|592914
8|32|32|10|2658|136|592914
16|2|2|10|3271|131|656090
16|2|4|10|3271|139|656090
16|2|8|10|3271|109|656090
16|2|16|10|3271|134|656090
16|2|32|10|3271|116|656090
16|4|2|10|2755|119|656090
16|4|4|10|2755|125|656090
16|4|8|10|2755|125|656090
16|4|16|10|2755|123|656090
16|4|32|10|2755|131|656090
16|8|2|10|2820|121|656090
16|8|4|10|2820|141|656090
16|8|8|10|2820|135|656090
16|8|16|10|2820|120|656090
16|8|32|10|2820|140|656090
16|16|2|10|2981|129|656090
16|16|4|10|2981|141|656090
16|16|8|10|2981|129|656090
16|16|16|10|2981|127|656090
16|16|32|10|2981|137|656090
16|32|2|9|2992|125|656090
16|32|4|9|2992|156|656090
16|32|8|9|2992|125|656090
16|32|16|9|2992|136|656090
16|32|32|9|2992|126|656090
32|2|2|10|4739|144|783682
